Nº DE INSCRICIÓN; TIPO ENTIDADE; NOME; ENDEREZO; CÓD. POSTAL; CÓDIGO DE PROVINCIA; PROVINCIA; CÓDIGO DE CONCELLO; CONCELLO; TELÉFONO; DATA DE ALTA; TIPO_MODALIDADE; MODALIDADE; TIPO_ESPECIALIDADE; ESPECIALIDADE
C-01137;CLUBE DEPORTIVO;AGRUPACIÓN DEPORTIVA MONTOUTO;LUGAR CAMPO DO MONTE;15318;15;A CORUÑA;15001;ABEGONDO;629080637;26/05/1987;24;FÚTBOL;0;;
C-12150;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA ENDURO ABEGONDO;SAN MARCOS, 2 A;15318;15;A CORUÑA;15001;ABEGONDO;667521057;16/12/2014;13;CICLISMO;20;CARREIRAS;
C-12150;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA ENDURO ABEGONDO;SAN MARCOS, 2 A;15318;15;A CORUÑA;15001;ABEGONDO;667521057;16/12/2014;13;CICLISMO;147;BIKE TRIAL;
C-12150;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA ENDURO ABEGONDO;SAN MARCOS, 2 A;15318;15;A CORUÑA;15001;ABEGONDO;667521057;16/12/2014;34;MOTOCICLISMO;20;CARREIRAS;
C-12150;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA ENDURO ABEGONDO;SAN MARCOS, 2 A;15318;15;A CORUÑA;15001;ABEGONDO;667521057;16/12/2014;34;MOTOCICLISMO;196;ENDURO;
C-12150;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA ENDURO ABEGONDO;SAN MARCOS, 2 A;15318;15;A CORUÑA;15001;ABEGONDO;667521057;16/12/2014;34;MOTOCICLISMO;197;MOTO-CROSS;
C-03368;CLUBE DEPORTIVO;C. D. ELEMENTAL PENOY;C.P. VIONS;15318;15;A CORUÑA;15001;ABEGONDO;981-673195;23/12/1991;5;BALONCESTO;0;;
C-03368;CLUBE DEPORTIVO;C. D. ELEMENTAL PENOY;C.P. VIONS;15318;15;A CORUÑA;15001;ABEGONDO;981-673195;23/12/1991;25;FÚTBOL SALA;0;;
C-03368;CLUBE DEPORTIVO;C. D. ELEMENTAL PENOY;C.P. VIONS;15318;15;A CORUÑA;15001;ABEGONDO;981-673195;23/12/1991;29;JUDO E D.A.;0;;
C-03368;CLUBE DEPORTIVO;C. D. ELEMENTAL PENOY;C.P. VIONS;15318;15;A CORUÑA;15001;ABEGONDO;981-673195;23/12/1991;54;VOLEIBOL;0;;
C-05277;CLUBE DEPORTIVO;C. DE FUTBITO A TENENCIA;SARANDONS, ZONA DE AQUELABANDA;15318;15;A CORUÑA;15001;ABEGONDO;;12/12/1996;25;FÚTBOL SALA;0;;
C-03633;CLUBE DEPORTIVO;C. DE FUTBOL CRENDES DE VETERANOS;CRENDES, VILAR 97 A;15318;15;A CORUÑA;15001;ABEGONDO;692694307;09/09/1992;24;FÚTBOL;0;;
C-02521;CLUBE DEPORTIVO;C. PEÑA DANS;MONTE, S/N;;15;A CORUÑA;15001;ABEGONDO;981-673084;18/01/1990;25;FÚTBOL SALA;0;;
C-06485;CLUBE DEPORTIVO;C. S. HÍPICA CABALEIROS DE ABEGONDO;ORTO DE ARRIBA. PARROQUIA DE SAN MARTIÑO, 25;15318;15;A CORUÑA;15001;ABEGONDO;981669368;19/01/2000;28;HÍPICA;0;;
C-02668;CLUBE DEPORTIVO;C. SAN TIRSO S.D;RÚA LAMANSIAN,24;15318;15;A CORUÑA;15001;ABEGONDO;689989440;18/05/1990;24;FÚTBOL;0;;
